Zipcode,Unemp Rate
1001,0.06
1002,0.09
1003,0.17
1005,0.10
1007,0.05
1008,0.05
1009,0.27
1010,0.08
1011,0.09
1012,0.09
1013,0.10
1020,0.09
1022,0.25
1026,0.06
1027,0.06
1028,0.05
1029,0.11
1030,0.05
1031,0.13
1032,0.04
1033,0.04
1034,0.07
1035,0.05
1036,0.07
1037,0.05
1038,0.06
1039,0.03
1040,0.14
1050,0.05
1053,0.11
1054,0.03
1056,0.08
1057,0.09
1060,0.07
1062,0.08
1063,0.10
1066,
1068,0.08
1069,0.08
1070,0.14
1071,0.07
1072,0.05
1073,0.04
1074,0.00
1075,0.07
1077,0.06
1079,0.10
1080,0.17
1081,0.07
1082,0.12
1083,0.11
1084,0.11
1085,0.07
1086,0.00
1088,0.08
1089,0.10
1092,0.13
1093,0.07
1094,0.00
1095,0.08
1096,0.03
1097,0.33
1098,0.07
1103,0.05
1104,0.12
1105,0.19
1106,0.04
1107,0.22
1108,0.17
1109,0.17
1118,0.06
1119,0.11
1128,0.06
1129,0.11
1151,0.10
1199,
1201,0.09
1220,0.12
1222,0.00
1223,0.10
1224,0.15
1225,0.05
1226,0.08
1229,0.17
1230,0.03
1235,0.07
1236,0.12
1237,0.06
1238,0.10
1240,0.13
1242,0.00
1243,0.07
1244,0.00
1245,0.07
1247,0.11
1253,0.07
1254,0.04
1255,0.04
1256,0.02
1257,0.01
1258,0.02
1259,0.04
1260,0.00
1262,0.07
1264,0.03
1266,0.05
1267,0.08
1270,0.02
1301,0.09
1330,0.07
1331,0.11
1337,0.08
1338,0.03
1339,0.08
1340,0.06
1341,0.07
1342,0.02
1343,0.00
1344,0.11
1346,0.08
1347,0.00
1349,0.03
1350,0.14
1351,0.06
1354,0.06
1355,0.06
1360,0.05
1364,0.13
1366,0.08
1367,0.12
1368,0.11
1370,0.07
1373,0.08
1375,0.03
1376,0.09
1378,0.08
1379,0.10
1420,0.11
1430,0.07
1431,0.06
1432,0.12
1434,0.17
1436,0.10
1438,0.10
1440,0.11
1450,0.04
1451,0.08
1452,0.08
1453,0.10
1460,0.04
1462,0.07
1463,0.05
1464,0.05
1467,0.09
1468,0.09
1469,0.07
1473,0.07
1474,0.08
1475,0.08
1501,0.07
1503,0.06
1504,0.07
1505,0.04
1506,0.05
1507,0.06
1510,0.10
1515,0.08
1516,0.10
1518,0.04
1519,0.07
1520,0.07
1521,0.07
1522,0.12
1523,0.06
1524,0.09
1525,0.10
1527,0.08
1529,0.07
1531,0.05
1532,0.06
1534,0.08
1535,0.06
1536,0.07
1537,0.13
1540,0.07
1541,0.04
1542,0.03
1543,0.09
1545,0.06
1550,0.11
1560,0.04
1561,0.09
1562,0.10
1564,0.06
1566,0.05
1568,0.06
1569,0.06
1570,0.11
1571,0.08
1581,0.05
1583,0.07
1585,0.07
1588,0.09
1590,0.02
1602,0.07
1603,0.09
1604,0.10
1605,0.08
1606,0.05
1607,0.09
1608,0.12
1609,0.10
1610,0.16
1611,0.14
1612,0.04
1701,0.06
1702,0.06
1718,0.06
1719,0.07
1720,0.05
1721,0.06
1730,0.06
1731,0.01
1740,0.06
1741,0.09
1742,0.04
1745,0.05
1746,0.06
1747,0.07
1748,0.04
1749,0.08
1752,0.06
1754,0.06
1756,0.06
1757,0.07
1760,0.04
1770,0.03
1772,0.07
1773,0.03
1775,0.05
1776,0.06
1778,0.05
1801,0.07
1803,0.08
1810,0.06
1821,0.06
1824,0.07
1826,0.07
1827,0.05
1830,0.10
1832,0.11
1833,0.07
1834,0.06
1835,0.05
1840,0.07
1841,0.09
1843,0.07
1844,0.06
1845,0.06
1850,0.12
1851,0.09
1852,0.10
1854,0.08
1860,0.05
1862,0.08
1863,0.06
1864,0.08
1867,0.05
1876,0.06
1879,0.09
1880,0.08
1886,0.06
1887,0.06
1890,0.06
1901,0.22
1902,0.12
1904,0.08
1905,0.11
1906,0.08
1907,0.05
1908,0.05
1913,0.07
1915,0.06
1921,0.07
1922,0.04
1923,0.07
1929,0.04
1930,0.09
1937,
1938,0.08
1940,0.04
1944,0.05
1945,0.05
1949,0.08
1950,0.06
1951,0.09
1952,0.08
1960,0.07
1966,0.08
1969,0.07
1970,0.10
1982,0.05
1983,0.04
1984,0.08
1985,0.07
2019,0.06
2021,0.05
2025,0.05
2026,0.06
2030,0.04
2032,0.07
2035,0.05
2038,0.06
2043,0.06
2045,0.06
2047,0.00
2048,0.07
2050,0.06
2052,0.04
2053,0.07
2054,0.09
2056,0.04
2061,0.06
2062,0.06
2066,0.06
2067,0.05
2071,0.06
2072,0.09
2081,0.07
2090,0.05
2093,0.06
2108,0.06
2109,0.02
2110,0.01
2111,0.10
2113,0.02
2114,0.05
2115,0.11
2116,0.05
2118,0.11
2119,0.15
2120,0.11
2121,0.22
2122,0.15
2124,0.17
2125,0.12
2126,0.17
2127,0.08
2128,0.10
2129,0.08
2130,0.07
2131,0.11
2132,0.07
2134,0.07
2135,0.05
2136,0.11
2138,0.06
2139,0.06
2140,0.08
2141,0.04
2142,0.01
2143,0.07
2144,0.06
2145,0.06
2148,0.11
2149,0.10
2150,0.11
2151,0.09
2152,0.09
2155,0.07
2163,0.11
2169,0.10
2170,0.07
2171,0.08
2176,0.06
2180,0.07
2184,0.08
2186,0.07
2188,0.09
2189,0.08
2190,0.07
2191,0.07
2199,0.01
2203,
2210,0.01
2215,0.08
2301,0.15
2302,0.11
2322,0.12
2324,0.08
2330,0.09
2332,0.07
2333,0.05
2338,0.09
2339,0.07
2341,0.09
2343,0.08
2346,0.08
2347,0.07
2351,0.07
2356,0.06
2357,0.14
2359,0.07
2360,0.09
2364,0.11
2366,
2367,0.09
2368,0.10
2370,0.11
2375,0.07
2379,0.09
2382,0.07
2420,0.04
2421,0.05
2445,0.04
2446,0.05
2451,0.05
2452,0.05
2453,0.05
2457,0.09
2458,0.05
2459,0.03
2460,0.05
2461,0.06
2462,0.01
2464,0.05
2465,0.05
2466,0.07
2467,0.04
2468,0.03
2472,0.07
2474,0.05
2476,0.04
2478,0.04
2481,0.07
2482,0.06
2492,0.04
2493,0.06
2494,0.08
2532,0.09
2534,0.00
2535,0.06
2536,0.07
2537,0.07
2538,0.12
2539,0.06
2540,0.08
2542,0.05
2543,0.04
2553,0.00
2554,0.03
2556,0.06
2557,0.03
2558,0.00
2559,0.08
2561,0.00
2562,0.07
2563,0.04
2564,0.00
2568,0.08
2571,0.10
2575,0.02
2576,0.13
2584,
2601,0.09
2630,0.00
2631,0.06
2632,0.05
2633,0.06
2635,0.10
2637,0.00
2638,0.09
2639,0.09
2641,0.04
2642,0.10
2643,
2644,0.07
2645,0.08
2646,0.11
2647,0.00
2648,0.05
2649,0.04
2650,0.06
2651,
2652,0.12
2653,0.04
2655,0.09
2657,0.13
2659,0.06
2660,0.06
2663,0.00
2664,0.08
2666,0.06
2667,0.06
2668,0.08
2669,0.00
2670,0.10
2671,0.21
2672,0.00
2673,0.08
2675,0.04
2702,0.04
2703,0.08
2713,0.00
2715,0.07
2717,0.08
2718,0.10
2719,0.08
2720,0.12
2721,0.15
2723,0.15
2724,0.17
2725,0.13
2726,0.07
2738,0.07
2739,0.05
2740,0.11
2743,0.11
2744,0.08
2745,0.08
2746,0.19
2747,0.08
2748,0.05
2760,0.09
2762,0.06
2763,0.06
2764,0.07
2766,0.11
2767,0.06
2769,0.12
2770,0.04
2771,0.06
2777,0.10
2779,0.09
2780,0.09
2790,0.11
2791,
2802,0.00
2804,0.05
2806,0.06
2807,0.06
2808,0.05
2809,0.06
2812,0.09
2813,0.07
2814,0.06
2815,0.15
2816,0.12
2817,0.11
2818,0.04
2822,0.05
2825,0.11
2826,0.00
2827,0.08
2828,0.05
2830,0.07
2831,0.11
2832,0.04
2833,0.00
2835,0.03
2836,0.00
2837,0.08
2838,0.06
2839,0.09
2840,0.04
2841,0.00
2842,0.07
2852,0.07
2857,0.08
2858,0.06
2859,0.13
2860,0.11
2861,0.10
2863,0.09
2864,0.05
2865,0.06
2871,0.06
2872,
2873,0.00
2874,0.05
2875,0.00
2876,0.00
2878,0.07
2879,0.05
2881,0.11
2882,0.05
2885,0.11
2886,0.09
2888,0.09
2889,0.08
2891,0.09
2892,0.06
2893,0.08
2894,0.26
2895,0.08
2896,0.05
2898,0.08
2903,0.14
2904,0.11
2905,0.17
2906,0.07
2907,0.20
2908,0.12
2909,0.16
2910,0.10
2911,0.08
2912,0.12
2914,0.10
2915,0.08
2916,0.06
2917,0.11
2919,0.08
2920,0.11
2921,0.06
3031,0.04
3032,0.03
3033,0.03
3034,0.06
3036,0.05
3037,0.05
3038,0.07
3042,0.04
3043,0.04
3044,0.05
3045,0.04
3046,0.05
3047,0.05
3048,0.09
3049,0.05
3051,0.08
3052,0.06
3053,0.07
3054,0.05
3055,0.06
3057,0.05
3060,0.10
3062,0.06
3063,0.08
3064,0.09
3070,0.04
3071,0.05
3076,0.07
3077,0.12
3079,0.07
3082,0.04
3084,0.08
3086,0.09
